t																	
t							t	h2	n2	aa							
300	10425.678	22877.437	20191.211	384616.645	10880132.49	123218.684	310	28	109	7							
304	10605.23	20888.914	21177.289	370095.158	9405881.902	105455.8	310	28	109	7							
308	18933.043	24722.706	23254.715	383381.046	10874359.61	121320.919	310	28	109	7							
312	10208.998	21198.964	19754.049	372812.192	10035089.95	112047.876	310	28	109	7							
316	10473.862	22583.8	22367.607	378458.909	10206017.44	117169.466	310	28	109	7							
320	10516.292	21228.586	20912.039	361222.476	9510525.347	107911.389	310	28	109	7							
324	10138.365	22019.809	17762.361	372031.663	11183292.08	130091.253	310	28	109	7							
328	10805.145	21374.94	20111.09	362779.487	9300603.327	111652.299	310	28	109	7							
332	13857.186	28047.435	22117.587	383778.887	11315524.23	126806.908	310	28	109	7							
336	13851.819	23739.73	21337.919	524149.652	9815098.093	113382.727	320	28	109	7							
340	12847.705	25325.324	20972.637	514604.301	11508524.03	139363.902	320	28	109	7							
344	23042.617	26743.579	23522.286	551193.875	10213128.56	187496.964	320	28	109	7							
348	13692.829	24877.321	20829.704	540941.466	10594711.41	126867.927	320	28	109	7							
352	15031.491	26265.209	21491.529	544598.518	10857124.31	144586.742	320	28	109	7							
356	13698.925	25119.485	19793.664	553613.193	11111837.53	139436.31	320	28	109	7							
360	14020.038	24605.527	21281.964	555454.347	10224024.63	122688.359	320	28	109	7							
364	13274.974	24209.784	18102.501	547935.175	10795363.75	133843.95	320	28	109	7							
368	13366.431	24748.265	17823.397	557422.153	11105401.91	135730.673	320	28	109	7							
372	13450.678	22913.146	18628.914	536626.843	9657333.315	123022.566	320	28	109	7							
376	13575.927	25653.731	18531.966	552430.823	11633163.69	146449.709	320	28	109	7							
380	13150.648	24583.557	17526.96	545260.75	11253229.42	169640.183	320	28	109	7							
384	13192.309	23093.992	17304.596	532051.709	10207982.04	129139.648	320	28	109	7							
388	13816.83	25038.777	18610.213	534617.669	10534798.44	129867.417	320	28	109	7							
392	39474.513	27757.172	30655.132	552361.857	9927858.086	121350.326	320	28	109	7							
396	15173.883	26843.092	19551.718	541352.076	10920990.71	141550.374	320	28	109	7							
400	13059.219	23990.61	17721.593	529064.37	10176746.39	124050.719	320	28	109	7							
404	17438.815	26382.459	21552.393	537812.614	10861154.64	136421.514	320	28	109	7							
408	12974.457	22992.151	17818.751	509520.809	9538871.705	119945.565	320	28	109	7							
412	13169.842	24927.058	16619.381	537387.21	11085768.65	137265.98	320	28	109	7							
416	13167.676	25382.966	16988.034	532665.181	11503982.65	147241.553	320	28	109	7							
420	14676.521	24158.735	20892.966	511829.646	8603213.5	103460.445	320	28	109	7							
424	13180.008	25266.988	16973.45	526217.336	10867427.71	177722.976	320	28	109	7							
428	12988.606	23585.854	17658.728	513985.996	9607310.457	115541.783	320	28	109	7							
432	13176.319	24510.201	17304.309	523789.996	10305016.06	123896.235	320	28	109	7							
436	12997.969	22672.742	17794.649	504507.108	9018143.565	109775.962	320	28	109	7							
440	15330.008	27225.377	22766.561	526101.39	10621169.11	145427.921	320	28	109	7							
444	12823.025	21730.283	17731.4	497903.464	8539572.313	102927.848	320	28	109	7							
448	20109.247	29578.474	22718.909	537452.392	11836830.56	147026.405	320	28	109	7							
452	13136.329	22292.395	17836.033	501459.767	8793193.875	110467.412	320	28	109	7							
456	13116.906	24835.203	15930.183	517888.325	10775206.23	135802.468	320	28	109	7							
460	12926.928	22342.332	17423.29	491662.331	9181382.825	122307.854	320	28	109	7							
464	15876.831	30245.283	21726.006	522433.217	11387930.25	143501.199	320	28	109	7							
468	13022.848	21862.552	17553.661	478115.416	8333238.377	120374.053	320	28	109	7							
472	14641.116	28169.614	19283.721	528555.462	11852612.28	149222.339	320	28	109	7							
476	13972.581	23889.251	18942.349	491857.885	8855092.593	108857.434	320	28	109	7							
480	13073.164	25696.642	16030.656	516746.232	11107438.34	142218.181	320	28	109	7							
484	13756.011	23133.212	17708.846	484967.807	8435456.34	108524.792	320	28	109	7							
488	12920.73	24251.427	16727.747	496641.325	10069620.52	125207.52	320	28	109	7							
492	15865.793	21534.757	16554.248	476069.943	8260035.082	120914.266	320	28	109	7							
496	13370.567	25844.189	15619.568	516127.773	11489885.86	145765.893	320	28	109	7							
500	13145.481	24147.394	15592.118	513760.217	10448209.37	129928.794	320	28	109	7							
504	18001.329	26753.483	18566.7	757204.861	10153610.15	151475.21	330	28	109	7							
508	18315.374	26440.706	21510.908	694062.217	8630467.409	115536.201	330	28	109	7							
512	17408.058	27872.489	17657.778	733223.122	10781179.71	179852.908	330	28	109	7							
516	19073.615	27554.455	21162.033	733532.825	9392113.99	125594.61	330	28	109	7							
520	19097.981	30898.963	19565.785	759757.98	11352087.97	152325.871	330	28	109	7							
524	19433.647	28860.468	23395.837	757429.068	9729639.181	127669.818	330	28	109	7							
528	75127.451	32348.008	23261.149	784660.415	11949916.09	176259.951	330	28	109	7							
532	17537.217	27997.441	17994.317	754088.069	10640240.96	142628.195	330	28	109	7							
536	27449.427	31612.398	20160.289	753995.113	10453736.4	140546.779	330	28	109	7							
540	17286.589	27793.624	17865.629	739558.412	10547100.15	142657.283	330	28	109	7							
544	17496.125	27934.79	16836.581	745364.426	10748344.01	148682.963	330	28	109	7							
548	17540.718	28039.648	17781.92	735522.464	10540485.03	147075.111	330	28	109	7							
552	19451.045	28045.836	19630.995	705555.795	9049825.891	126578.883	330	28	109	7							
556	17407.497	27520.193	17911.254	731896.355	9536581.665	145438.41	330	28	109	7							
560	30771.197	28980.882	20820.293	735699.021	9737987.727	132023.716	330	28	109	7							
564	17489.817	29079.625	17448.229	736878.061	10802367.04	148010.214	330	28	109	7							
568	17265.326	26948.035	17969.042	713381.679	9444257.955	127601.243	330	28	109	7							
572	17379.62	27391.728	17219.177	718348.298	9783134.575	153311.262	330	28	109	7							
576	18051.998	25545.03	18068.45	706757.008	8278826.082	110257.213	330	28	109	7							
580	17417.484	29428.258	16850.641	730527.439	10534772.09	144694.657	330	28	109	7							
584	17331.495	25286.817	17762.803	694298.56	8616939.076	124551.954	330	28	109	7							
588	17479.088	27237.262	16446.789	716807.4	9988508.17	140907.825	330	28	109	7							
592	17133.496	26746.841	17197.158	698657.023	8993757.234	210058.992	330	28	109	7							
596	25525.055	33397.58	24711.223	734461.12	10955189.83	150879.239	330	28	109	7							
600	18633.927	27881.896	17489.874	712827.434	9748872.912	131810.517	330	28	109	7							
604	18843.914	31434.654	18546.883	728607.834	10906283.44	151415.617	330	28	109	7							
608	19676.213	28013.801	18979.952	699165.359	9321875.81	138170.498	330	28	109	7							
612	17405.882	29081.83	17037.443	718868.267	10845087.84	153674.531	330	28	109	7							
616	17256.04	25048.015	17565.04	681365.099	8457089.55	117682.15	330	28	109	7							
620	17300.678	29868.106	16212.67	718689.949	11206316.52	158931.442	330	28	109	7							
624	16961.737	23349.642	16431.403	664691.68	7701940.629	125625.123	330	28	109	7							
628	17144.494	26990.456	16704.256	693862.127	9975995.452	141704.855	330	28	109	7							
632	17591.101	24887.549	16972.15	686465.739	8319207.811	113105.999	330	28	109	7							
636	14934.668	24369.705	16559.834	420423.118	10237249.71	156315.291	330	28	109	7							
640	21747.064	31073.069	26460.403	691322.804	8935609.652	117488.782	330	28	109	7							
644	18055.479	30554.503	18282.463	716791.119	10784130.48	181559.132	330	28	109	7							
648	20841.084	31138.925	24915.165	680451.686	8723933.042	117110.214	330	28	109	7							
652	18155.463	30920.26	18470.873	704192.007	10411350.44	143679.742	330	28	109	7							
656	17853.234	26223.923	18006.059	667756.059	8499356.573	111837.944	330	28	109	7							
660	20733.243	34371.406	22281.318	729476.377	11088434.72	150541.291	330	28	109	7							
664	19862.892	28005.845	21527.304	672163.647	8198190.366	110397.449	340	28	109	7							
668	23935.753	33012.468	21156.034	954804.245	10323486.84	149713.435	340	28	109	7							
672	19304.38	23759.682	20522.813	362991.434	7928116.609	109935.173	340	28	109	7							
676	26152.147	34521.735	20700.2	1037160.083	10805912.71	152071.245	340	28	109	7							
680	24103.102	30375.647	21760.646	944547.146	8856437.235	125945.55	340	28	109	7							
684	24847.35	34380.449	19809.28	1045512.524	10813578.93	155132.68	340	28	109	7							
688	24615.601	32817.638	20070.984	1013306.778	9983790.57	151253.97	340	28	109	7							
692	26095.693	36997.351	26182.274	1041989.535	10565717.51	154533.493	340	28	109	7							
696	25489.693	35753.166	21356.412	1043454.596	10617477.6	167258.123	340	28	109	7							
700	24789.58	34664.425	20401.488	1039669.651	10354913.38	148818.142	340	28	109	7							
704	25847.971	33793.775	23120.703	1004867.747	9294767.659	148683.523	340	28	109	7							
708	26840.968	36045.364	20977.709	1038618.743	10732676.79	153928.251	340	28	109	7							
712	26161.738	36301.053	23088.113	1033290.967	9954632.541	144075.98	340	28	109	7							
716	25075.783	34668.408	20754.484	1024528.962	9952452.84	143996.121	340	28	109	7							
720	27097.836	37701.942	24521.115	1013974.835	10285160.05	146350.366	340	28	109	7							
724	24535.146	32336.427	20339.618	981880.11	9054608.522	126287.315	340	28	109	7							
728	24937.255	33851.435	19882.456	1006715.403	10191190.93	147054.893	340	28	109	7							
732	25232.986	37564.464	20472.58	1040612.806	11404720.11	180593.417	340	28	109	7							
736	27618.973	36417.69	23237.991	1004275.333	9129850.921	129837.081	340	28	109	7							
740	25043.736	36367.223	20098.522	1026332.578	10510853.59	156355.723	340	28	109	7							
744	26944.354	37475.593	23053.026	1009566.229	9828986.801	139251.555	340	28	109	7							
748	30675.577	39095.754	24784.524	1019986.966	10202673.77	158314.22	340	28	109	7							
752	25347.694	37291.454	19933.442	1019232.417	11029777.78	154823.685	340	28	109	7							
756	24964.091	33326.728	20681.585	982967.26	8696968.65	111885.206	340	28	109	7							
760	24967.989	34283.103	20625.379	968518.598	9971644.133	144904.55	340	28	109	7							
764	25295.41	34358.178	20901.947	982511.177	9438580.214	191390.993	340	28	109	7							
768	24946.346	32695.531	20901.852	949250.773	8806847.88	131018.371	340	28	109	7							
772	26372.088	34669.053	22250.832	950294.396	8887633.57	158902.875	340	28	109	7							
776	25019.179	35225.668	20057.016	983293.734	10184851.15	188725.881	340	28	109	7							
780	28925.923	37581.444	27701.531	978543.05	9194878.263	132920.449	340	28	109	7							
784	24885.775	34171.916	19692.982	961732.296	9446832.23	26716.169	340	28	109	7							
788	24425.966	30248.72	20749.615	916740.709	7896359.361	110688.238	340	28	109	7							
792	27585.911	37626.476	24393.059	957970.228	9792764.111	159431.891	340	28	109	7							
796	24239.976	29018.085	20174.989	895039.131	7242172.623	98391.669	340	28	109	7							
800	27329.183	39575.558	22596.588	977154.724	10015318.62	144431.553	340	28	109	7							
804	24942.115	33675.678	20143.076	941273.566	9208288.04	132467.622	340	28	109	7							
808	25276.036	36032.297	18749.444	984377.56	10304309.63	151427.491	340	28	109	7							
812	24802.11	33274.566	20061.047	932785.691	8758194.573	124770.144	340	28	109	7							
816	28337.862	42576.088	26931.052	1000446.356	11669129.89	172998.397	340	28	109	7							
820	26037.787	31023.028	20319.077	901863.336	7669717.825	174935.14	340	28	109	7							
824	27245.008	37470.477	19491.983	963523.305	10904772.32	161386.005	340	28	109	7							
828	26585.642	32320.447	25073.733	888774.968	7556709.102	105936.158	340	28	109	7							
832	25210.495	35518.315	19914.34	957435.304	9938284.137	145476.527	350	28	109	7							
836	33854.458	34395.176	24179.783	1329510.172	7791871.809	111625.433	350	28	109	7							
840	33103.783	39396.464	23528.937	1330293.15	9896183.181	146204.113	350	28	109	7							
844	72129.414	39098.57	25248.821	1316111.586	8622048.461	126278.153	350	28	109	7							
848	34574.544	43847.468	23987.493	1436333.947	11025832.02	166871.574	350	28	109	7							
852	36042.863	37708.376	24721.265	1333041.352	8637352.638	146474.951	350	28	109	7							
856	34373.154	39915.732	23456.307	1370141.609	9685356.031	171257.434	350	28	109	7							
860	33875.879	34914.996	24610.454	1274597.476	7503896.142	111596.942	350	28	109	7							
864	35511.66	42280.369	25062.209	1371093.12	9665985.048	143879.246	350	28	109	7							
868	34378.068	32526.482	24452.341	1252324.477	6821415.53	98264.46	350	28	109	7							
872	35396.982	42108.898	24341.498	1362215.318	9839546.644	147895.211	350	28	109	7							
						
