2584.1	822.2	421.3	738.4	93.2	540.4	584.4	265.8
2948.2	898	509	763.3	118.5	1053.7	1426.1	642.1
3299.3	51.3	591.1	842.8	146.3	1498.3	1738.1	895.6
3199	46.2	571.5	777.3	139.8	1435.3	1454.4	1030
3230.8	793.8	581.8	744.5	142.9	1467.2	1408.6	1316.4
2949.8	38.4	525.4	643.9	123.8	1264.8	1276.3	1260.7
3442.2	39.3	627.5	777	154.9	1346.9	1357.1	1246.2
3347.4	30.5	605.8	729.4	147.9	1291	1297.4	1249.3
3396.8	41.9	621.3	721	150.1	1291.6	1295.2	1203.1
3590.1	31.7	662.2	777.1	160.8	1275.2	1297.7	1228
3732.5	32.2	693.5	804.3	169.1	1295.8	1306.4	1247.1
3892.3	37.9	730.8	843.3	179.8	1274.7	1263.3	1163.9
3575.6	28.2	676.5	754.2	164.9	1249.3	1273.6	1144.1
3578.8	33.4	660.4	722.1	155.4	1235.4	1245	1095.4
3235.4	24	601.1	627.5	146	1198.6	1263.7	1077.4
3490.1	31.8	670.1	701.3	160.2	1194.5	1205.1	982.3
3358.8	30.4	632.5	671.7	150.8	1144.4	1185	965.2
3363.1	23	626.1	636.2	147	1151.8	1234.4	1000.8
