426.8	647	22839.9	169.5	850
412	664.4	23214.2	171.6	855.3
407	619.1	23506.7	173.6	820.9
407.6	623.1	23394.7	181.1	849.1
405.4	623.8	25099.9	185.3	862
409.3	556.9	23192.3	175.3	778.7
408.7	536.2	25130.4	172.9	743.2
408.1	630.5	24121.1	203.7	875.2
412.6	717.7	22593.3	231.8	988.5
431.1	687.3	22276.6	232.7	924.4
407.1	586	23183.8	206.4	775.7
416.1	429.7	23515.1	160.3	564.4
427.4	310	23243.4	122.1	394.2
598.4	592.4	17773.3	232.5	737.5
455.2	252.1	24119.6	83.9	314.6
477.3	518.8	21090	164	645.9
536.3	300.3	20235.9	106	362.4
543.3	321.1	20191.5	115.7	379.9
