	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Injection date	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	N2	H2	aa
0	4741.005	1647.019	24105.679	34021.466	122300.731	41369.531	300	109	28	7
4	21613.573	20866.345	22158.233	1303488.716	9783153.226	95898.742	300	109	28	7
8	4109.408	716.834	23544.149	15719.768	63478.581	1196.061	300	109	28	7
12	6997.277	3174.001	23875.152	130725.794	92622.111	92.575	300	109	28	7
16	7228.09	5842.732	23147.889	327613.766	9526050.108	45907.567	300	109	28	7
20	7377.751	7158.831	21939.612	337444.758	11003117.91	60114.387	300	109	28	7
24	7046.684	7135.64	19745.353	337552.667	10250683.32	59889.347	300	109	28	7
28	6945.939	7623.261	18704.73	339505.028	11046017.1	62462.525	300	109	28	7
32	6900.333	7957.867	18725.1	337476.441	10708780.7	90120.663	300	109	28	7
36	10629.18	10727.963	19682.22	337994.574	11175998.33	78963.929	300	109	28	7
40	7076.333	8512.236	18109.06	334252.263	10967910.86	79503.383	300	109	28	7
44	8828.961	9732.69	18961.933	332242.624	11054793.17	62385.265	300	109	28	7
48	7698.39	9271.061	19414.952	324332.724	10205026.41	58533.991	300	109	28	7
52	8740.018	11372.524	22939.181	327148.172	10721960.11	58153.561	300	109	28	7
56	7493.095	10349.082	17951.801	324219.166	11922407.1	71381.926	300	109	28	7
60	5999.446	7899.46	16039.728	315397.786	8928102.151	50864.885	300	109	28	7
64	11834.617	10950.002	20770.042	329502.48	11146414.43	60.531	300	109	28	7
68	5857.568	7765.837	16299.932	312584.075	8633588.131	48715.601	300	109	28	7
72	6052.49	9314.218	15572.285	330393.296	11877553.59	71415.042	300	109	28	7
76	5999.167	8912.164	16283.023	322611.761	10668038.07	76113.114	300	109	28	7
80	9048.042	14551.324	23259.887	334228.032	12361927.69	72909.138	300	109	28	7
84	5757.987	7780.8	17007.363	300798.305	7835970.341	50176.549	300	109	28	7
88	7598.173	11396.039	19919.843	322913.785	11535091.66	70112.086	300	109	28	7
