	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Time	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	N2	H2	aa
300	9877.039	9978.091	12715.144	773584.478	7770170.111	47797.741	310	109	28	7
304	10753.172	13347.541	13191.866	804210.227	10925032.13	82256.142	310	109	28	7
308	11241.433	10840.956	13888.56	757633.072	7885832.166	53658.487	310	109	28	7
312	9756.982	11221.1	11925.428	801539.304	10578655.69	75080.456	310	109	28	7
316	11412.738	11929.7	15017.778	791248.829	8703422.175	63812.084	310	109	28	7
320	12470.578	11378.548	12489.626	800699.492	10178560.53	71151.728	310	109	28	7
324	10251.164	11502.488	14157.865	772728.839	9426336.923	66344.662	310	109	28	7
328	10401.457	12077.989	12760.129	802007.35	10386870.04	89581.432	310	109	28	7
332	10056.185	11735.29	12473.119	793873.948	9942645.951	70190.245	320	109	28	7
336	15352.879	12223.133	16537.041	1364167.583	10351147.53	76418.836	320	109	28	7
340	15131.844	15860.936	21473.953	1061574.952	9877263.604	62987.784	320	109	28	7
344	14676.984	12946.663	15993.576	1288736.193	10478222.42	63896.592	320	109	28	7
348	13272.851	11233.903	14889.42	1157820.546	9347032.567	57182.839	320	109	28	7
352	14649.444	12424.466	16431.409	1235225.898	9828665.997	63257.354	320	109	28	7
356	13309.041	10944.398	14818.042	1199186.109	9315986.411	57076.384	320	109	28	7
360	24114.605	12854.373	17749.91	1224060.165	9517834.546	67828.7	320	109	28	7
364	13318.362	11056.448	14119.587	1212272.685	9463627.852	58011.835	320	109	28	7
368	14454.894	12782.433	17761.682	1261236.849	10637080.16	66923.013	320	109	28	7
372	13332.664	11406.008	13783.046	1223513.415	10177869.46	73363.298	320	109	28	7
376	13454.113	11292.788	13737.982	1247000.663	10134703.51	63061.836	320	109	28	7
380	13190.488	10962.055	14022.656	1206898.367	9717510.218	88585.726	320	109	28	7
384	15817.238	14789.157	22036.702	1232804.097	10523587.32	66487.568	320	109	28	7
388	13378.561	11576.737	14562.671	1221902.737	9502263.667	120179.551	320	109	28	7
392	14566.622	13249.813	18022.235	1225114.086	10000848.4	62344.55	320	109	28	7
396	14734.292	13241.267	17306.373	1204612.937	9857019.67	63256.451	320	109	28	7
400	13136.903	11338.689	13197.005	1217508.829	10211589.26	64154.926	320	109	28	7
404	34327.509	14394.784	15541.898	1253516.644	11564300.91	75690.069	320	109	28	7
408	12951.223	10955.873	13780.953	1205044.841	9443726.249	57739.864	320	109	28	7
412	14931.208	10994.415	13546.963	1223341.418	9518574.115	59362.172	320	109	28	7
416	12962.744	10967.1	14038.706	1195375.083	9094204.831	53323.108	320	109	28	7
420	13317.422	11423.153	13759.846	1220811.499	9482828.087	59512.426	320	109	28	7
424	13111.155	11818.95	14230.974	1202964.67	9503423.233	83236.052	320	109	28	7
428	16249.659	16076.015	19963.305	1204584.397	10081738.14	63515.589	320	109	28	7
432	13295.242	11786.045	14174.31	1188059.63	9551675.368	100535.315	320	109	28	7
436	13247.376	12183.77	14283.9	1197434.146	9909378.109	65395.695	320	109	28	7
440	14095.527	13768.556	14898.018	1198204.806	10005375.06	60721.364	320	109	28	7
444	13149.724	12438.55	13617.033	1209270.372	10441038.14	68983.289	320	109	28	7
448	14402.422	11669.527	16492.056	1166837.849	7985238.277	56742.912	320	109	28	7
452	12988.515	11553.569	13230.934	1186656.058	9796199.417	67782.648	320	109	28	7
456	21586.473	14854.159	15744.618	1211021.382	10292751.78	66101.347	320	109	28	7
460	12987.436	12158.049	13061.459	1193289.568	10542334.46	70817.68	320	109	28	7
464	12997.765	11142.732	14338.828	1162981.007	8447556.005	51925.11	320	109	28	7
468	12911.924	11908.479	13100.877	1194704.287	9947234.505	73079.861	320	109	28	7
472	12535.907	9712.943	2.668	1152733.15	7960227.248	48796.66	320	109	28	7
476	12666.932	11423.868	13004.125	1152077.4	9507188.774	114632.936	320	109	28	7
480	15458.602	13870.118	20359.249	1174173.173	8862083.182	57113.2	320	109	28	7
484	12782.178	11583.898	13025.556	1185192.746	9720188.619	62151.919	320	109	28	7
488	12496.204	9772.916	13246.28	1109242.9	7677752.416	48918.413	320	109	28	7
492	14081.297	13643.697	16112.392	1189055.443	10544181.44	74341.78	320	109	28	7
496	12402.304	9333.761	12960.26	1112671.423	7016449.66	44404.285	320	109	28	7
500	24643.657	14277.347	16853.533	1444788.169	10190289.87	64783.581	330	109	28	7
504	16407.182	10535.262	16004.656	1629294.673	7791304.6	414.455	330	109	28	7
508	22604.913	13849.789	19470.956	1810865.258	9109402.455	51229.699	330	109	28	7
512	16253.297	10401.628	15672.843	1609355.977	7237813.26	40996.112	330	109	28	7
516	18062.745	11724.746	16288.296	1826014.917	9004076.187	49709.65	330	109	28	7
520	16764.015	10068.536	15571.515	1652602.012	7118316.078	56789.662	330	109	28	7
524	17454.453	11032.273	15499.161	1771416.16	8704720.787	48588.96	330	109	28	7
528	17402.02	10677.859	15952.171	1739612	8050209.085	4205.456	330	109	28	7
532	19589.297	14777.224	20066.814	1779486.78	8858434.774	69215.901	330	109	28	7
536	17202.067	9995.467	16283.498	1657414.9	6821141.918	41202.684	330	109	28	7
540	18713.901	14580.766	18213.681	1799530.554	9851513.432	55645.633	330	109	28	7
544	18402.742	11719.002	17887.063	1602357.941	6874115.247	36606.378	330	109	28	7
548	17622.556	13024.955	15956.168	1790220.084	9644825.008	57365.287	330	109	28	7
552	17288.362	11506.328	15933.96	1697639.231	8089167.471	48211.545	330	109	28	7
556	17725.873	13447.139	15464.346	1771428.907	10368032.4	64440.506	330	109	28	7
560	23579.154	12235.973	17913.884	1650813.712	7152207.116	39126.105	330	109	28	7
564	17342.513	12787.214	15250.156	1746589.513	9923866.995	58935.871	330	109	28	7
568	16975.218	10437.685	14752.892	1600281.756	7825229.112	46848.063	330	109	28	7
572	17223.577	12372.141	15136.253	1729008.777	9458630.271	73040.156	330	109	28	7
576	16979.24	11385.56	14388.45	1706195.089	9298663.696	72097.142	330	109	28	7
580	17428.104	12814.618	14826.508	1802584.4	9958868.657	6548.532	330	109	28	7
584	19589.962	15472.008	21112.571	1719162.273	8989260.516	51610.593	330	109	28	7
588	17192.767	12833.558	14946.346	1778361.033	9704732.85	58268.85	330	109	28	7
592	17026.158	12451.403	14769.614	1725205.578	9407529.594	56562.401	330	109	28	7
596	18774.648	14762.661	17479.478	1761288.125	10358311.18	69233.888	330	109	28	7
600	16686.792	11833.931	14197.716	1691393.286	8779335.132	51407.111	330	109	28	7
604	21143.05	14156.12	15955.622	1733518.147	10784811.87	69303.492	330	109	28	7
608	16934.501	12826.109	14665.99	1727786.16	9900197.13	63286.223	330	109	28	7
612	17124.016	12159.838	14461.116	1755890.524	9494300.321	58756.867	330	109	28	7
616	16806.516	12316.216	14762.42	1697800.978	8944994.832	56297.677	330	109	28	7
620	17013.747	12888.056	14197.53	1732320.201	9963399.134	61338.137	330	109	28	7
624	16787.988	12103.206	14879.909	1682641.363	8588064.904	62668.27	330	109	28	7
628	19003.66	16275.947	19899.296	1726085.937	9332676.081	55029.091	330	109	28	7
632	17712.935	13737.181	14962.513	1706341.211	9128540.064	57017.047	330	109	28	7
636	17000.413	13211.905	15169.05	1727431.984	9433985.064	57742.599	330	109	28	7
640	27998.298	15925.158	17988.083	1728696.916	9968240.209	63049.8	330	109	28	7
644	17216.781	12818.86	14505.023	1699823.42	9205279.235	53629.415	330	109	28	7
648	17683.768	13580.808	15183.503	1712672.573	9718032.458	61118.284	330	109	28	7
652	16823.072	13268.061	14282.792	1701266.821	9853549.28	60767.354	330	109	28	7
656	17031.274	13401.907	15676.529	1732644.086	9677184.506	58635.003	330	109	28	7
660	16360.442	11986.938	13575.935	1673645.216	8957422.911	74050.718	330	109	28	7
664	16609.541	12606.431	13454.307	1690017.542	9546046.257	64838.412	340	109	28	7
668	25189.824	11579.952	19017.641	2686115.01	7630413.502	57175.727	340	109	28	7
672	23493.189	15993.4	21980.099	2255110.958	8784856.812	49755.185	340	109	28	7
676	22596.03	11706.62	17118.83	2413299.233	8117645.898	44291.197	340	109	28	7
680	24178.729	14122.716	19041.795	2511849.868	8551440.271	45752.35	340	109	28	7
684	43189.685	13271.393	18407.769	2411349.74	7617816.428	37921.503	340	109	28	7
688	22987.345	13003.467	17381.72	2509604.628	8806320.809	46429.141	340	109	28	7
692	22937.297	11807.802	17177.075	2478966.06	7977487.581	40400.914	340	109	28	7
696	22460.945	12742.456	17459.648	2467680.531	8439011.261	44214.948	340	109	28	7
700	23003.382	12604.31	17892.112	2522354.158	7945606.56	37553.94	340	109	28	7
704	22512.954	12906.428	16484.428	2495951.229	8922991.23	47311.203	340	109	28	7
708	22612.028	12390.165	16912.814	2502529.703	8195726.728	40999.674	340	109	28	7
712	22684.993	13535.653	17312.029	2481746.841	8910367.633	73999.475	340	109	28	7
716	23869.387	13097.332	18979.083	2376294.629	7103427.399	36857.527	340	109	28	7
720	22656.409	13967.548	17099.5	2483462.617	9103919.229	1996.033	340	109	28	7
724	24233.714	14621.695	20109.301	2406479.374	7351839.82	33016.714	340	109	28	7
728	57718.615	14740.2	17329.826	2457414.025	9212042.217	48390.676	340	109	28	7
732	22247.551	12423.201	17064.448	2464535.773	7728536.916	36846.649	340	109	28	7
736	61228.684	15436.199	17977.896	2439427.329	8718615.641	53547.43	340	109	28	7
740	21628.907	10669.58	16529.131	2314180.52	6316525.953	29380.425	340	109	28	7
744	24297.285	16056.719	18467.782	2470057.259	8878171.793	60174.607	340	109	28	7
748	21822.637	11765.703	16678.434	2386602	7136807.019	32191.5	340	109	28	7
752	23025.787	14585.356	17312.982	2429820.049	8608379.429	45965.763	340	109	28	7
756	21443.78	11929.783	16935.636	2320973	6920706.299	32750.382	340	109	28	7
760	22405.805	14010.695	16489.059	2464351.667	8964709.22	50064.197	340	109	28	7
764	19175.501	8477.913	16020.149	694286.6	7051717.849	59911.672	340	109	28	7
768	25092.364	17646.685	19671.681	2457743.015	8943602.962	46658.501	340	109	28	7
772	28932.774	11577.662	16632.083	2242677.738	6886788.205	43449.459	340	109	28	7
776	22152.272	14222.933	16012.233	2426129.725	9360983.82	50308.543	340	109	28	7
780	23215.48	15320.239	19029.164	2332710.774	8956635.008	55132.048	340	109	28	7
784	22001.209	14070.781	15786.864	2407614.842	9296144.445	52982.832	340	109	28	7
788	26899.497	14998.635	18575.784	2354011.103	8230396.295	47035.4	340	109	28	7
792	22081.584	13764.889	16080.27	2407954.925	8538056.874	47988.04	340	109	28	7
796	21681.958	13441.076	16008.841	2362579.384	8529881.79	51077.539	340	109	28	7
800	21793.239	13947.552	16201.099	2399115.6	8782819.408	59494.972	340	109	28	7
804	22153.076	14738.78	15698.432	2442258.304	9993807.552	65853.65	340	109	28	7
