							T	H2	N2	AA							
304	36003.348	20500.368	29971.536	931364.103	10034519.03	58972.499	310	28	109	7							
308	29412.972	17780.2	27249.294	937661.014	10634118.36	67469.038	310	28	109	7							
312	40393.582	20968.899	30552.349	948363.569	11304462.25	71319.417	310	28	109	7							
316	30076.913	18267.667	26883.424	937150.678	10816762.82	65983.167	310	28	109	7							
320	30946.615	18540.535	25860.916	947540.425	11627330.9	81299.082	310	28	109	7							
324	29497.33	17518.386	26987.959	917525.941	10087276.12	60425.291	310	28	109	7							
328	32001.127	20488.958	29048.786	919784.4	11229145.64	70880.262	310	28	109	7							
332	29988.526	17560.386	27540.012	923412.46	9894137.708	59232.025	310	28	109	7							
336	45317.491	25018.838	37163.55	1553945.742	10226099.82	56535.175	320	28	109	7							
340	81718.053	19647.78	31487.293	1232257.291	8886153.444	84063.327	320	28	109	7							
344	42873.542	22774.894	30847.743	1467939.233	11072648.81	61201.305	320	28	109	7							
348	42825.324	22581.635	32728.6	1398716.55	10142795.37	52012.743	320	28	109	7							
352	42232.931	22122.181	30367.311	1429470.259	10670040.27	59876.51	320	28	109	7							
356	45611.113	24015.221	32735.85	1426536.62	9581039.662	48688.542	320	28	109	7							
360	43236.306	22637.597	29835.687	1440311.513	10448727.7	55407.609	320	28	109	7							
364	45422.166	22647.244	30978.572	1412854.09	9887959.668	52633.393	320	28	109	7							
368	43267.55	22203.131	29612.971	1426002.688	10068523.48	53537.282	320	28	109	7							
372	48277.683	24490.671	31153.614	1429898.355	10213673.14	61777.226	320	28	109	7							
376	44233.732	22976.503	29396.547	1417754.818	10510792.65	56672.462	320	28	109	7							
380	48620.596	25120.744	31083.615	1444088.02	10253192.54	56383.387	320	28	109	7							
384	45746.783	24225.839	28918.087	1435895.608	11219348.37	5951.531	320	28	109	7							
388	44331.939	22094.761	28524.193	1412250.515	9495227.839	50193.944	320	28	109	7							
392	46268.882	24163.114	28884.868	1424427.119	10866620.36	62819.111	320	28	109	7							
396	46705.961	25102.368	31994.659	1413247.278	9892712.6	52994.187	320	28	109	7							
400	47946.004	25306.178	30601.651	1423538.95	9990008.466	71460.681	320	28	109	7							
404	47088.651	24332.701	28314.669	1430490.576	10684475.78	58065.263	320	28	109	7							
408	45770.754	23346.967	27985.154	1397255.812	9624042.992	51719.056	320	28	109	7							
412	45219.854	22937.7	27791.896	1363363.113	9424819.452	51131.888	320	28	109	7							
416	48114.962	25081.557	28680.088	1409883.202	10491056.63	57964.195	320	28	109	7							
420	47204.129	24347.044	27474.859	1396621.524	10219461.69	55295.995	320	28	109	7							
424	49065.41	24925.84	27066.339	1454314.622	10639523.35	57637.602	320	28	109	7							
428	48233.775	24500.654	27585.769	1414320.798	9967689.81	91245.364	320	28	109	7							
432	50528.989	27604.247	31600.533	1416786.178	10220184.5	55852.35	320	28	109	7							
436	48786.566	24958.484	27338.99	1403771.301	10230336.16	82313.272	320	28	109	7							
440	49391.323	25489.816	27190.855	1399519.057	10840094.11	60628.395	320	28	109	7							
444	48213.63	24329.021	27838.61	1376528.349	9587859.607	52423.038	320	28	109	7							
448	50060.59	26031.969	27092.744	1404727.212	10681717.7	60858.193	320	28	109	7							
452	49387.723	24557.634	27480.825	1382839.981	9554442.42	53813.208	320	28	109	7							
456	47985.295	24512.756	25712.908	1325255.458	9896250.832	55944.815	320	28	109	7							
460	48802.56	22794.345	24858.315	1344907.659	9121763.9	52618.418	320	28	109	7							
464	50480.46	24149.802	25369.398	1373930.764	10029228.51	57396.033	320	28	109	7							
468	52902.689	28351.561	29020.079	1396356.065	10410260.11	59852.826	320	28	109	7							
472	52406.802	25354.867	27532.996	1390676.277	9575474.207	51753.324	320	28	109	7							
476	51340.048	24757.103	25770.789	1368094.449	10130566.3	56738.905	320	28	109	7							
480	51966.077	25935.012	26113.925	1367258.383	10119769.23	71186.838	320	28	109	7							
484	52366.438	25587.745	25602.155	1370209.768	10457427.6	59760.694	320	28	109	7							
488	64328.664	27828.808	28790.332	1378067.745	10454044.76	73735.381	320	28	109	7							
492	53050.251	25702.353	25769.988	1371535.85	10496996.25	60855.566	320	28	109	7							
496	51350.452	23286.79	24686.025	1356404.7	8658792.416	45259.51	320	28	109	7							
500	65040.688	29127.836	31340.535	1895369.49	8810994.871	56872.077	330	28	109	7							
504	63730.09	28325.512	29722.584	1860720.796	8796290.685	43680.813	330	28	109	7							
508	70272.911	31823.58	32674.066	2090018.491	9331266.111	75388.304	330	28	109	7							
512	66604.545	28960.761	30281.119	1959136.723	8391957.578	38884.688	330	28	109	7							
516	74069.058	33032.831	33172.513	2072070.854	9302410.866	42721.269	330	28	109	7							
520	66899.9	28581.54	30493.69	2026556.308	7617281.959	35031.597	330	28	109	7							
524	72437.341	33714.019	34436.012	2053564.257	9191953.337	54153.216	330	28	109	7							
528	69872.112	32976.641	35336.384	2009769.286	7599393.362	33568.066	330	28	109	7							
532	72821.498	34272.04	34018.986	2066616.173	9034021.962	42529.453	330	28	109	7							
536	68461.098	30212.279	31562.139	1991302.852	8031603.529	35213.384	330	28	109	7							
540	78314.972	36231.132	34603.029	2087870.168	9645109.167	46801.1	330	28	109	7							
544	65595.749	28150.38	30535.32	1931590.554	6836904.053	31054.507	330	28	109	7							
548	73795.149	33258.811	31005.273	2055501.172	9715113.48	47841.657	330	28	109	7							
552	68806.414	29996.857	30623.407	1969618.714	7740049.497	50835.959	330	28	109	7							
556	75387.77	35246.771	32583.272	2086045.663	9409724.261	47611.672	330	28	109	7							
560	72646.591	32505.998	30830.605	2015443.359	9013789.215	52274.186	330	28	109	7							
564	77044.017	36408.567	33047.163	2082677.357	10207488.4	53419.102	330	28	109	7							
568	70732.798	30624.06	30269.374	1980191.995	7730513.851	35147.012	330	28	109	7							
572	73080.003	32540.027	30864.985	2002328.106	8873558.642	43994.497	330	28	109	7							
576	74191.527	33187.938	31278.349	2005492.229	8966409.686	50990.229	330	28	109	7							
580	74607.263	33841.8	30630.09	2008862.617	9287949.721	49812.608	330	28	109	7							
584	75759.957	34129.461	31390.677	2031041.504	9183388.597	45449.086	330	28	109	7							
588	76361.346	35007.104	30692.706	2016505.972	9932154.961	52608.378	330	28	109	7							
592	74988.674	33491.216	32183.116	1992585.293	8787433.432	44941.53	330	28	109	7							
596	78407.957	35948.38	31310.892	2048061.152	10007917.11	52462.973	330	28	109	7							
600	78756.165	36800.048	32064.896	2027260.983	9739374.211	57918.142	330	28	109	7							
604	78230.22	35816.136	30851.3	2016716.276	10039831.98	54615.708	330	28	109	7							
608	78544.55	36117.559	33182.107	2013245.357	9399524.428	49933.143	330	28	109	7							
612	82085.641	38252.627	32778.741	2061861.948	10134264.49	67498.776	330	28	109	7							
616	75257.15	33308.224	30164.738	1945024.22	8831282.441	44898.143	330	28	109	7							
620	80171.399	36738.129	31166.951	2028641.925	10054460.69	67937.782	330	28	109	7							
624	76957.181	34329.383	30029.938	1974862.354	8862622.947	45703.253	330	28	109	7							
628	83942.211	38044.348	33529.987	2021280.523	9859336.825	53021.257	330	28	109	7							
632	78041.92	35020.545	30240.854	1972479.425	8992023.419	46374.785	330	28	109	7							
636	80883.268	35985.419	29865.551	2019788.526	9674809.867	50990.712	330	28	109	7							
640	81005.511	36781.287	31002.169	2017119.115	9710357.601	64844.63	330	28	109	7							
644	82761.194	37275.289	30123.77	2021878.661	10468701.27	57119.282	330	28	109	7							
648	78838.413	35287.039	30124.32	1958545.759	8949003.798	59716.369	330	28	109	7							
652	80693.35	36243.537	30474.013	1984532.045	9455831.042	52051.156	330	28	109	7							
656	81133.829	36635.962	30425.005	1979865.332	9571335.6	52030.35	330	28	109	7							
660	83113.903	36877.645	30204.446	2012493.718	9603567.876	51508.278	330	28	109	7							
664	82765.025	37796.902	32132.818	1992908.567	9123829.095	54905.799	330	28	109	7							
668	113678.469	49785.647	43166.738	3062075.34	8663290.903	36851.392	340	28	109	7							
672	98747.171	43976.279	38681.032	2689140.151	8106564.336	37393.423	340	28	109	7							
676	107841.385	49234.043	41008.63	2938569.496	9834219.783	45358.078	340	28	109	7							
680	104699.328	46068.766	39523.405	2931227.428	8621841.205	38994.544	340	28	109	7							
684	104831.651	47093.367	40126.853	2908313.313	8912658.111	41202.37	340	28	109	7							
688	105249.988	46916.369	40628.675	2907075.642	8286235.788	37427.459	340	28	109	7							
692	106884.605	48013.328	40827.535	2952994.3	9149520.551	49077.743	340	28	109	7							
696	100837.595	43791.619	37452.29	2837075.33	7830813.057	33805.858	340	28	109	7							
700	105846.021	47396.647	40215.409	2908615.827	8872301.496	59930.12	340	28	109	7							
704	104546.455	45084.414	38689.824	2875885.366	7969101.105	35281.631	340	28	109	7							
708	104538	46495.769	39446.338	2888065.876	8108905.177	33393.31	340	28	109	7							
712	107456.913	48638.5	40284.825	2921770.933	8916608.65	44926.772	340	28	109	7							
716	103652.419	46115.142	38804.585	2839846.64	8183365.243	37616.078	340	28	109	7							
720	105112.918	47086.414	39175.568	2857742.56	8584529.782	39745.567	340	28	109	7							
724	107406.12	48683.22	42011.325	2873520.373	8181357.111	37139.152	340	28	109	7							
728	104355.345	46591.563	38634.093	2826172.8	8204052.639	38245.716	340	28	109	7							
732	106185.262	47995.304	41619.776	2834465.075	7884249.919	33445.699	340	28	109	7							
736	106131.841	47492.971	39202.917	2860300.096	8204095.576	36696.689	340	28	109	7							
740	105336.554	46087.207	37746.652	2832217.851	7882002.618	33783.798	340	28	109	7							
744	105972.839	47430.22	39307.631	2835594.08	8038448.459	36330.791	340	28	109	7							
748	108502.781	50321.604	42042.85	2869213.335	7959425.352	35112.385	340	28	109	7							
752	109988.502	50050.578	40661.8	2879754.92	9038402.423	43569.979	340	28	109	7							
756	106613.247	48280.94	39827.878	2813864.276	8094102.83	35833.91	340	28	109	7							
760	110468.422	51050.862	41197.266	2852047.623	8831539.949	40361.17	340	28	109	7							
764	103759.193	45829.833	38218.39	2759149.706	7307386.117	28339.319	340	28	109	7							
768	108765.679	49672.375	39775.451	2818196.677	8934835.351	41116.75	340	28	109	7							
772	105100.049	46552.689	38705.486	2766667.779	7464648.06	30825.522	340	28	109	7							
776	112460.605	51281.961	41526.593	2806194.859	8583462.783	43568.708	340	28	109	7							
780	99994.886	43316.687	36864.054	2649724.347	6424848.362	24873.901	340	28	109	7							
784	110343.683	49825.194	39889.453	2820396.538	8578432.829	37987.579	340	28	109	7							
788	97794.472	41767.23	36074.346	2591789.526	5984262.485	32556.324	340	28	109	7							
792	111904.513	50723.717	40014.81	2839214.655	8611507.524	45282.454	340	28	109	7							
796	101963.141	44461.109	37185.419	2657379.384	6629043.383	29349.695	340	28	109	7							
800	111634.654	49941.83	38476.6	2816368.791	8706146.566	39307.886	340	28	109	7							
804	101336.219	44450.537	37547.488	2591173.528	6464486.928	24668.311	340	28	109	7							
808	114164.371	53298.292	41283.871	2848973.629	8946426.303	41710.396	340	28	109	7							
812	105806.483	47559.038	39192.64	2651454.36	7164617.693	30354.87	340	28	109	7							
816	113684.485	53496.033	42053.612	2779806.743	9014133.026	41931.902	340	28	109	7							
820	103525.551	45207.21	37145.017	2612453.251	6692681.313	29571.655	340	28	109	7							
824	115404.719	52943.317	39892.632	2823448.235	9642068.732	48500.079	340	28	109	7							
828	111717.819	49283.435	40426.848	2717727.985	7433645.186	32142.408	340	28	109	7							
832	141121.264	64319.644	51983.81	3910701.285	8290845.613	35838.051	340	28	109	7							
836	120869.259	50843.466	42373.632	3376129.18	6731834.18	26947.471	340	28	109	7							
840	139661.463	61893.072	51304.721	4031558.437	7584500.401	50771.469	350	28	109	7							
844	136110.796	60845.533	52015.837	3897083.895	7133757.218	27502.713	350	28	109	7							
848	135677.537	61620.679	49796.755	3926833.024	7691170.559	63.888	350	28	109	7							
852	136572.68	60384.027	50332.007	3963836.631	7597906.148	31776.114	350	28	109	7							
856	133306.641	58789.181	48761.543	3884942.007	7298393.238	29189.396	350	28	109	7							
860	130850.419	58770.203	48409.78	3874706.818	6998349.996	25737.961	350	28	109	7							
864	133957.838	61697.92	50390.234	3890708.426	7531876.801	28976.924	350	28	109	7							
868	135835.629	62507.411	49957.356	3954587.988	7954728.618	31283.236	350	28	109	7							
872	139358.505	65557.323	52576.521	4006340.089	7775357.37	29233.811	350	28	109	7							
876	136274.553	62829.887	50065.041	3965205.335	7766941.921	30911.8	350	28	109	7							
880	137858.469	61870.261	49163.91	3970001.475	7548361.463	28164.795	350	28	109	7							
884	135106.396	62202.167	49303.074	3917794.347	7885474.341	30994	350	28	109	7							
888	130972.233	58954.956	46647.107	3842874.376	7194819.45	31790.346	350	28	109	7							
892	131317.01	59250.843	48130.847	3824965.096	7062107.965	27597.698	350	28	109	7							
896	136786.53	64736.56	51979.455	3915986.066	7788810.529	30443.037	350	28	109	7							
900	133518	61065.122	48392.138	3853136.495	7434207.832	34653.533	350	28	109	7							
904	133089.229	61086.131	48346.46	3832405.498	7453608.278	29039.091	350	28	109	7							
908	138293.404	64480.248	50395.811	3926683.252	7937981.053	54689.344	350	28	109	7							
912	136559.978	63224.051	49571.891	3884166.398	8109281.347	32021.003	350	28	109	7							
916	132356.627	61002.43	48904.618	3741388.139	6884683.22	34293.808	350	28	109	7							
920	126013.302	54475.397	45281.239	3650715.51	5957906.798	21213.462	350	28	109	7							
924	140254.973	62514.52	49047.752	3821116.006	7283366.271	29188.118	350	28	109	7							
928	130437.514	58871.471	46791.521	3744252.072	6658335.447	25074.935	350	28	109	7							
932	136739.446	63294.405	49280.74	3849826.919	7345510.194	28692.618	350	28	109	7							
936	137116.603	63275.643	48717.21	3853087.207	7667085.559	34356.62	350	28	109	7							
940	131616.417	60223.263	47727.111	3712768.51	6935947.103	29283.464	350	28	109	7							
944	133925.069	61588.946	47595.514	3747260.89	7698611.154	58330.825	350	28	109	7							
948	141240.894	65721.008	52106.828	3856140.271	8069702.894	33487.194	350	28	109	7							
952	135303.611	62795.709	47877.419	3751981.946	8330564.874	44141.476	350	28	109	7							
956	136253.374	63659.65	49222.262	3813984.237	7067270.688	26806.694	350	28	109	7							
960	192632.531	65021.871	49624.028	3816945.865	7533601.172	30926.382	350	28	109	7							
