300.5	1011.1	28290.6	330.1	1559
0	0	22554.3	295.9	1344.8
211.8	1210.8	27775.9	408.3	1728.3
213.7	1154	27510.2	400.9	1608.5
0	0	23448.1	326.9	1229
439	1016.6	27775.1	382.5	1374.3
416	1191.7	27397.7	434.5	1548.9
217.7	1128.7	27600.2	421.4	1447.7
217.7	1126.8	27569.7	431.3	1459.8
219.1	1234.2	27275.3	460.4	1584.2
218.2	1290.1	27187.9	475	1637.2
220	1370.4	28488.3	493.8	1730.4
221	1285.7	27163.5	460.8	1612.4
379.2	1297.9	27064.9	473.6	1658.9
217.6	1032.4	27836	414	1319.2
218.8	1157.2	27541.3	439.6	1446.1
221.5	1106.9	27491.7	428.1	1412.1
219.1	1032.6	27754.6	432.9	1331.6
