	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Injection date	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	H2	N2	AA
300	7631.932	12185.221	23986.257	616425.436	8098762.289	64312.276	310	28	109	7
304	7302.934	13400.91	20856.646	650163.585	10253359.56	85877.087	310	28	109	7
308	9684.041	16110.067	29518.96	618944.998	9538597.555	80969.255	310	28	109	7
312	7616	15327.35	21842.05	659959.509	11496877.15	113390.794	310	28	109	7
316	7477.2	13292.75	23214.212	623256.054	9780962.386	81600.514	310	28	109	7
320	7550.523	14011.091	23312.652	654788.101	9882126.927	95275.566	310	28	109	7
324	9988.283	17971.739	29284.113	655272.281	10566714.17	348.946	310	28	109	7
328	6419.463	13270.84	21650.331	1132417.219	11016371.09	98460.331	310	28	109	7
332	10754.169	16049.518	28143.019	653195.242	10021923.47	78465.943	320	28	109	7
336	13707.131	14596.34	26146.628	1030737.563	9661607.338	74565.648	320	28	109	7
340	8710.81	13629.198	22408.17	840096.026	9631729.765	73812.215	320	28	109	7
344	10090.484	13898.181	22556.669	1020946.585	10279514.92	96656.632	320	28	109	7
348	9323.88	14003.95	21462.67	950981.542	10100450.66	75910.093	320	28	109	7
352	11412.225	16368.24	26243.432	1004797.945	10364154.77	84507.874	320	28	109	7
356	9636.303	13778.92	21304.754	970891.7	9923635.344	77462.107	320	28	109	7
360	9725.697	13671.459	21054.048	1003091.628	10107295.03	78571.561	320	28	109	7
364	9679.148	13477.965	22617.438	978151.873	9195720.103	69217.667	320	28	109	7
368	9704.12	14581.43	21229.391	1004123.604	10371999.23	85358.602	320	28	109	7
372	9528.457	13976.103	22168.34	967340.971	9563579.303	93570.654	320	28	109	7
376	9723.034	14523.541	19891.914	993193.794	10825173.34	84198.399	320	28	109	7
380	9962.438	15163.091	20403.409	989597.732	10639556.42	106865.823	320	28	109	7
384	9472.551	13886.394	19251.425	980303.634	10161122.57	79078.888	320	28	109	7
388	10523.113	15376.907	22061.818	1002434.467	9994656.083	82544.991	320	28	109	7
392	12947.587	20302.636	24675.234	1022357.926	11925568.06	93423.888	320	28	109	7
396	9453.762	13842.469	20141.324	968710.072	9781916.462	78929.24	320	28	109	7
400	9295.964	13011.124	19858.087	952453.737	9107770.261	67563.505	320	28	109	7
404	9745.596	14769.851	21096.627	986378.91	10124504.93	327.053	320	28	109	7
408	9275.244	13593.641	19459.871	949103.475	9282654.174	72963.025	320	28	109	7
412	9478.116	14090.984	18993.886	978154.489	9770346.571	76328.053	320	28	109	7
416	9431.929	14389.554	18924.014	974720.602	67.609	108732.797	320	28	109	7
420	10820.603	16686.979	20682.662	977663.055	10107348.6	81084.762	320	28	109	7
424	9682.908	14284.367	19085.275	972237.854	9643359.336	74829.29	320	28	109	7
428	10466.477	15680.875	23111.571	964766.932	9940718.146	80369.306	320	28	109	7
432	9272.229	13751.46	19143.99	954391.257	9244405.257	84460.691	320	28	109	7
436	9465.579	15021.482	18459.95	961370.965	10575583.16	89634.534	320	28	109	7
440	9522.124	15521.61	18004.192	988846.816	10826042.64	83597.098	320	28	109	7
444	9436.587	14355.427	18215.457	950604.012	9702364.753	78046.521	320	28	109	7
448	11026.229	16365.367	21828.269	953203.792	9726216.431	93226.546	320	28	109	7
