	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Injection date	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	N2	H2	aa
300	42015.912	22893.495	76656.005	400810.774	10087217.8	68403.404	310	109	28	7
304	40278.595	19175.52	69556.631	394939.298	10483793.05	92420.067	310	109	28	7
308	39870.024	18519.285	73175.955	376562.19	9733679.187	65447.327	310	109	28	7
312	42552.537	21400.276	71949.717	402921.764	10883575.62	74323.571	310	109	28	7
316	40333.857	20047.296	66946.266	382328.067	11398347.38	82804.548	310	109	28	7
320	45292.755	21269.203	73308.078	380884.839	10401424.74	76334.45	310	109	28	7
324	40891.866	20065.039	67348.044	381818.315	11347441.9	76626.445	310	109	28	7
328	49909.865	21106.754	73933.939	378126.817	9831541.857	67201.755	310	109	28	7
332	41120.026	20031.105	68367.288	379833.711	10972451.2	76384.026	320	109	28	7
336	50384.437	21554.931	72606.714	625815.827	10101895.94	63865.145	320	109	28	7
340	46329.367	20966.551	69857.925	502449.131	10158495.57	74680.02	320	109	28	7
344	50022.229	23236.937	65512.381	580047.033	11020619.04	77261.165	320	109	28	7
348	46605.801	20710.02	61144.219	548665.928	10485613.5	87643.379	320	109	28	7
352	48155.083	22687.888	62510.156	564853.655	10045867.15	66977.419	320	109	28	7
356	84852.913	21758.887	59459.773	545919.578	9698662.931	67186.75	320	109	28	7
360	46224.812	19759.51	57133.248	566379.748	9033629.366	58641.64	320	109	28	7
364	59041.81	21790.931	57545.423	567121.543	9389823.26	73209.915	320	109	28	7
368	45313.378	19720.566	53282.832	568627.153	9333644.43	61185.236	320	109	28	7
372	65801.023	24459.862	53743.303	584020.212	12189049.8	97963.911	320	109	28	7
376	45215.401	20188.27	51232.539	563453.251	10095174.56	72294.539	320	109	28	7
380	49596.016	21756.032	55278.81	568503.182	9393085.716	67981.438	320	109	28	7
384	44175.625	18823.73	52255.212	527398.989	9114610.384	68355.233	320	109	28	7
388	45732.768	20094.232	50662.843	557762.313	10282246.31	88612.992	320	109	28	7
392	43768.309	18156.041	53711.943	526925.818	7985807.753	66369.283	320	109	28	7
396	48829.193	24949.515	53189.92	570680.98	11602739.94	92964.018	320	109	28	7
400	43655.54	17960.44	54091.937	519028.343	7571088.279	51217.145	320	109	28	7
404	46131.711	21818.601	49617.297	558522.769	10779051.64	85515.03	320	109	28	7
408	46762.835	22166.692	53764.716	519272.299	10151940.21	90167.769	320	109	28	7
412	44613.248	19537.692	50844.265	524954.218	9197844.604	66389.153	320	109	28	7
