							T	H2	N2	AA							
0	7233.67	4865.563	24085.441	23826.415	122703.807	0	300	28	109	7							
4	9405.028	3284.175	22144.785	18529.026	59730.091	93.289	300	28	109	7							
8	13823.809	8318.795	29635.009	740294.592	9266562.335	39334.842	300	28	109	7							
12	21582.319	9958.833	27663.297	764566.213	11135493.03	60665.52	300	28	109	7							
16	9537.85	7202.625	20272.84	735266.656	10253414.67	267.046	300	28	109	7							
20	10024.876	8268.753	20328.565	772144.465	11793622.35	74607.163	300	28	109	7							
24	9955.399	8602.533	19240.843	765128.003	11814655.38	70650.416	300	28	109	7							
28	10164.306	9185.532	19642.216	779798.474	12213453.92	75330.901	300	28	109	7							
32	10028.609	9496.738	20639.253	777772.949	11733216.52	102096.465	300	28	109	7							
36	12246.98	12191.842	26004.765	765817.046	11183355.34	64373.971	300	28	109	7							
40	10048.174	9314.43	21499.246	744628.151	10360474.95	59844.48	300	28	109	7							
44	10397.882	10360.703	21477.748	757466.373	11884230.62	73699.582	300	28	109	7							
48	10138.573	9760.41	21340.816	736657.5	10906528.59	64011.992	300	28	109	7							
52	10518.08	10603.445	21427.2	755384.31	11946217.78	73364.338	300	28	109	7							
56	10543.67	10543.691	21405.907	744526.536	11070097.72	63607.209	300	28	109	7							
60	10503.623	10192.817	21915.02	740199.403	10802384.11	63060.757	300	28	109	7							
64	12667.67	12447.849	25955.878	726766.479	11107976.75	67370.053	300	28	109	7							
68	10893.824	10895.778	21129.748	766284.086	11894089.86	73270.491	300	28	109	7							
72	10908.765	10938.969	20935.352	745729.055	12326100.41	76792.659	300	28	109	7							
76	11109.774	11483.376	20706.747	747912.504	12742067.16	101896.373	300	28	109	7							
80	10957.849	10583.438	20779.472	731956.941	11593110.9	75060.354	300	28	109	7							
84	11702.237	11504.098	22396.99	754368.215	11669086.11	90199.733	300	28	109	7							
88	12902.592	12598.465	27316.32	749067.653	10785741.24	63932.414	300	28	109	7							
92	12689.752	12116.686	24397.784	724705.295	11597132.65	84762.25	300	28	109	7							
96	11120.7	10970.519	22137.079	712033.849	10885426.11	66533.677	300	28	109	7							
100	10846.833	10149.281	22192.927	695825.263	9557556.681	66505.657	300	28	109	7							
104	11921.392	12436.095	21905.927	749689.201	13311436.63	84865.045	300	28	109	7							
108	14694.889	11682.159	26884.25	691610.173	9088612.65	51381.57	300	28	109	7							
112	11754.717	11700.206	22611.277	717184.024	11916585.05	77016.476	300	28	109	7							
116	23640.829	11987.753	22434.677	704235.28	11586354.84	72419.661	300	28	109	7							
120	11379.176	11080.991	22261.133	692144.266	11190032.78	88386.557	300	28	109	7							
124	30513.965	15362.959	27392.376	717782.519	11748593.49	74244.378	300	28	109	7							
128	11664.418	10823.008	21208.127	716631.719	11197204.32	69956.46	300	28	109	7							
132	12925.661	12644.04	24664.382	699524.263	11622449.53	74872.377	300	28	109	7							
136	12302.2	11529.07	21650.727	701453.14	11599715.65	113046.085	300	28	109	7							
140	12437.804	11610.737	23640.197	693989.908	10245775.7	61904.702	300	28	109	7							
144	14378.532	12988.721	25585.171	705198.468	10999239.73	70579	300	28	109	7							
148	25533.999	13199.422	25646.638	697531.634	10746220	66795.175	300	28	109	7							
152	13982.252	11894.118	23137.384	706929.057	10853783.69	67222.471	300	28	109	7							
156	12030.742	10982.474	21086.519	680880.391	11047239.82	73027.902	300	28	109	7							
160	12171.135	10677.59	19739.935	701851.586	11571750.19	76097.845	300	28	109	7							
164	11788.056	10407.749	20822.031	659056.725	10028645.55	65492.693	300	28	109	7							
168	16345.939	15963.995	26156.741	755532.682	12667522.59	88916.722	300	28	109	7							
172	17242.792	10965.789	23152.287	1127977.087	10138497.84	96657.423	310	28	109	7							
176	16194.468	12601.523	22118.653	994707.627	12441558.44	80510.373	310	28	109	7							
180	56942.824	11945.804	23644.82	1082805.456	10042974.72	57908.203	310	28	109	7							
184	17124.8	12156.65	23018.008	1073565.495	11277520.26	67739.35	310	28	109	7							
188	17435.8	11473.92	22775.013	1085171.524	10242777.79	69665.52	310	28	109	7							
192	17665.292	11613.057	22335.45	1069433.915	10678720.99	62079.568	310	28	109	7							
196	17076.275	11051.485	22532.287	1059178.817	9619048.858	54065.928	310	28	109	7							
200	18395.927	13588.731	21668.539	1094138.544	12939971.23	86312.398	310	28	109	7							
204	17765.651	11799.122	22487.003	1069365.907	10134478.53	59907.516	310	28	109	7							
208	18139.728	12294.593	21763.398	1063678.559	10962806.68	77022.327	310	28	109	7							
212	18124.491	11296.191	23458.977	1080377.208	9322469.229	52723.082	310	28	109	7							
216	18858.094	13429.663	23635.928	1074864.119	11563859.01	79783.526	310	28	109	7							
220	22105.201	18071.507	31276.106	1099974.379	11485856.29	68261.509	310	28	109	7							
224	20565.053	14823.65	24893.084	1078025.692	11518133.12	71543.545	310	28	109	7							
228	18902.754	12760.953	23106.465	1063857.238	10699726.88	63664.052	310	28	109	7							
232	18802.865	12330.464	22510.085	1052656.822	10295288.54	57411.89	310	28	109	7							
236	19455.916	13128.11	22766.68	1064379.588	11082144.19	68970.037	310	28	109	7							
240	22458.249	14367.218	26499.572	1043699.201	10402394	58932.417	310	28	109	7							
244	19689.79	13536.589	22177.776	1049789.89	11507735.48	72484.772	310	28	109	7							
248	19664.999	12837.179	21744.706	1057108.035	10877888.29	73420.865	310	28	109	7							
252	20395.87	14034.294	21996.624	1069483.608	11906528.5	73832.049	310	28	109	7							
256	23307.178	17358.542	22484.828	1084348.02	13181621.1	85962.072	310	28	109	7							
260	20647.453	14207.275	20990.913	1065330.767	11915788.53	87815.222	310	28	109	7							
264	20793.471	14195.516	23631.453	1057161.427	10235297.32	59944.898	310	28	109	7							
