							T	H2	N2	AA							
268	21604.213	15096.235	21984.898	1053650.431	11619861.63	71144.652	310	28	109	7							
272	20086.806	12584.878	22734.734	1064518.393	8969967.699	49062.285	310	28	109	7							
276	42415.149	17087.682	26623.988	1063431.88	10890983.74	71653.201	310	28	109	7							
280	21095.192	14766.284	21632.469	1036672	11437979.6	70633.468	310	28	109	7							
284	21266.512	14283.815	22029.754	1040722.969	10858336.44	67642.719	310	28	109	7							
288	20768.663	13863.088	21621.647	1014797.395	10267844.13	61906.982	310	28	109	7							
292	21529.597	14473.515	22140.667	1043794.129	10948819.41	66725.766	310	28	109	7							
296	21080.032	13291.849	21445.244	1016102.847	9674861.266	57760.877	310	28	109	7							
300	22356.078	14802.086	20193.044	1066064.373	11815971.37	73275.893	310	28	109	7							
304	21710.989	13964.261	21105.733	1037586.954	10426333.81	61051.618	310	28	109	7							
308	24366.941	17825.97	26987.458	1041225.87	11704056.24	74931.602	310	28	109	7							
312	22013.844	14242.674	20382.78	1025930.812	10739040.91	94019.153	310	28	109	7							
316	22654.861	15121.646	21473.109	1025700.045	10485613.85	61625.31	310	28	109	7							
320	23652.267	16112.45	21194.726	1042266.691	11021813.71	64224.173	310	28	109	7							
324	23098.757	15631.137	19753.492	1038205.409	12173096.53	79928.057	310	28	109	7							
328	23230.296	15408.356	20461.475	1033307.37	11438706.13	75937.516	310	28	109	7							
332	22733.251	14889.684	19744.784	1024827.216	10652560.98	64714.08	310	28	109	7							
336	32117.299	17151.889	25359.4	1663820.897	9482349.794	48332.127	320	28	109	7							
340	28456.618	16987.529	21624.359	1378226.887	11299503.26	65221.385	320	28	109	7							
344	70809.43	18363.381	26028.771	1627463.13	9152113.068	45168.537	320	28	109	7							
348	30154.031	16596.448	22773.051	1510521.631	10175159.43	60677.06	320	28	109	7							
352	37515.763	19218.884	26777.918	1577057.015	9072664.47	47009.844	320	28	109	7							
356	32610.506	18391.851	22803.458	1604202.93	11272454.85	79531.143	320	28	109	7							
360	32339.784	18232.076	25343.536	1592007.201	10060891.83	54127.599	320	28	109	7							
364	32869.385	18216.221	22664.385	1591297.378	10525559.91	67793.298	320	28	109	7							
368	31311.017	16212.074	21823.245	1529956.85	9287752.647	48412.508	320	28	109	7							
372	43973.645	19359.991	24813.088	1605024.735	10620649.73	68650.394	320	28	109	7							
376	32709.859	17555.672	22190.966	1571034.492	10206130.04	57807.697	320	28	109	7							
380	35201.98	20902.458	24627.694	1585618.492	10355166.31	68239.571	320	28	109	7							
384	34213.581	18772.361	22510.375	1609862.595	10727017.5	58315.563	320	28	109	7							
388	35380.36	19974.844	24987.249	1599127.547	10768657.02	72235.981	320	28	109	7							
392	34593.939	19357.366	23370.554	1581826.845	10649873.93	58957.505	320	28	109	7							
396	36040.534	20713.568	22815.501	1626401.279	12305110.31	70266.086	320	28	109	7							
400	34813.684	19523.186	23183.281	1575970.656	10613350.61	83708.421	320	28	109	7							
404	37888.102	23765.556	28469.328	1622728.792	11270461.33	72405.801	320	28	109	7							
408	34977.813	19829.836	23439.123	1542928.533	10584125.47	70179.562	320	28	109	7							
412	35694.162	20725.575	24408.363	1565140.48	10272839.83	56862.973	320	28	109	7							
416	37561.752	21689.415	25062.147	1585271.021	10938120.67	57707.983	320	28	109	7							
420	37936.578	22800.807	26387.658	1581467.708	11353731.47	64622.14	320	28	109	7							
424	36512.408	20136.943	26412.586	1519450.701	8587527.638	59198.023	320	28	109	7							
428	38989.936	23501.375	26619.721	1585735.112	11280994.28	62954.367	320	28	109	7							
432	38568.575	22897.641	25391.272	1563416.671	9991908.856	54245.277	320	28	109	7							
436	36821.744	20318.429	23824.474	1564890.068	10141802.3	54781.426	320	28	109	7							
440	37396.383	20701.55	23754.156	1570823.45	10381700.45	55908.782	320	28	109	7							
444	37540.285	21289.456	22876.516	1558963.901	10738048.58	58987.876	320	28	109	7							
448	40544.912	24263.402	24859.683	1618946.733	11808889.63	68597.264	320	28	109	7							
452	38532.995	22048.3	23023.514	1568553.741	11512976.79	87746.897	320	28	109	7							
456	40657.879	24938.319	26887.756	1562890.133	10404909.99	54725.124	320	28	109	7							
460	37668.735	20828.063	23512.284	1518486.327	9801562.558	51955.892	320	28	109	7							
464	39058.026	22461.208	22972.675	1549564.534	11223494.92	65078.098	320	28	109	7							
468	38178.193	21057.562	22996.028	1521164.946	10408238.44	56999.253	320	28	109	7							
472	38121.237	20431.374	22047.064	1507699.98	9758537.568	53365.938	320	28	109	7							
476	40132.21	20396.591	22184.154	1507955.292	9962443.62	54927.512	320	28	109	7							
480	38604.641	20212.706	21902.991	1525646.298	9844358.66	54023.192	320	28	109	7							
484	40644.803	22507.987	21386.986	1556165.609	11970944.58	71260.994	320	28	109	7							
488	41127.432	22449.241	22016.339	1593492.696	11176233.32	68409.161	320	28	109	7							
492	40442.413	22141.55	22817.161	1547089.016	10914543.26	63349.431	320	28	109	7							
496	40359.959	22124.062	22601.875	1532974.889	11007186.76	78080.046	320	28	109	7							
500	45413.398	24096.952	24118.483	1774664.038	11264282.62	69224.776	330	28	109	7							
504	52675.438	25247.332	28362.935	2268060.896	9407860.553	79717.603	330	28	109	7							
508	54931.605	28064.241	31924.802	2239415.867	9305303.183	42242.723	330	28	109	7							
512	54346.115	27494.634	29471.634	2217362.06	9832038.825	55124.101	330	28	109	7							
516	56002.022	27240.465	28706.473	2357836.937	10381220.93	46956.132	330	28	109	7							
520	54482.975	26368.601	29135.38	2230954.2	8812519.207	4449.182	330	28	109	7							
524	56445.667	26907.284	28047.7	2366355.136	10307922.17	50164.988	330	28	109	7							
528	56902.192	27124.748	29503.236	2267943.881	8923224.009	39367.151	330	28	109	7							
532	57311.782	27469.033	27865.328	2360110.217	10392956.22	52097.169	330	28	109	7							
536	54820.841	24918.971	26613.627	2303356.725	8892140.824	41331.828	330	28	109	7							
540	53076.308	24131.589	26604.117	2204549.703	8165111.067	37370.325	330	28	109	7							
544	60815.571	31436.881	31076.303	2347371.774	10635278.71	55889.47	330	28	109	7							
548	57994.444	27813.371	27561.678	2333509.119	10203026.31	97248.858	330	28	109	7							
552	57924.112	27965.185	27890.762	2310496.968	9955266.393	51177.235	330	28	109	7							
556	98733.604	27203.62	28228.198	2249853.958	8688800.901	44455.481	330	28	109	7							
560	57281.419	26824.766	27688.516	2270876.481	9536662.6	47827.321	330	28	109	7							
564	57738.468	27198.787	27510.899	2281545.849	9316177.813	46564.548	330	28	109	7							
568	59345.751	29233.827	29500.116	2302167.661	9667334.705	47609.629	330	28	109	7							
572	60166.917	29863.325	30311.75	2280467.09	8886513.208	39049.647	330	28	109	7							
576	57968.657	27603.962	28050.189	2252137.449	9202972.312	44121.004	330	28	109	7							
580	61662.287	30365.55	29429.289	2317235.772	10565632.6	51504.832	330	28	109	7							
584	57823.943	27104.396	28119.723	2236456.869	8600676.949	40788.631	330	28	109	7							
588	59347.106	28018.899	27415.261	2268556.446	9441143.059	50358.592	330	28	109	7							
592	60330.661	29083.566	28053.13	2271821.57	9714113.871	81312.687	330	28	109	7							
596	61008.655	31087.01	30707.957	2218125.042	9393772.134	46813.371	330	28	109	7							
600	61997.275	29770.518	26651.273	2282706.557	10945777.21	107769.965	330	28	109	7							
604	60234.11	27630.681	27388.518	2236375.514	8857961.102	44512.589	330	28	109	7							
608	80679.625	30066.026	28377.742	2292347.494	9619238.63	49264.19	330	28	109	7							
612	61968.453	29758.61	27839.159	2249588.78	10318129.47	53059.391	330	28	109	7							
616	66618.294	30784.114	29722.1	2274042.877	9806619.477	48370.348	330	28	109	7							
620	62575.533	29822.893	28258.679	2269780.011	9510980.631	50178.45	330	28	109	7							
624	63366.391	31124.735	30543.93	2196725.5	9381215.318	45081.581	330	28	109	7							
628	63263.757	30130.233	27845.456	2257864.367	9804991.515	90805.82	330	28	109	7							
632	63418.864	30041.421	28878.443	2239773.452	9860012.662	50580.085	330	28	109	7							
636	64401.901	30322.223	28180.798	2243275.315	9824380.31	46433.937	330	28	109	7							
640	65868.346	32913.692	31092.365	2241485.878	9537973.39	47215.483	330	28	109	7							
644	74829.249	32591.515	29067.69	2246635.504	10333792.22	58070.417	330	28	109	7							
648	66775.585	32397.876	27743.403	2293331.426	11101252.17	58014.53	330	28	109	7							
652	65029.021	31408.032	29543.848	2198462.039	8731321.353	51843.764	330	28	109	7							
656	64533.779	30462.836	27648.581	2233896.001	9552056.553	48050.448	330	28	109	7							
660	67798.25	32566.908	31202.642	2241297.45	10126410.16	53337.33	330	28	109	7							
664	61857.3	28317.538	27512.5	2148651.892	8107291.654	35769.074	330	28	109	7							
668	87745.161	39932.063	37459.406	3409568.716	9233016.431	39329.4	340	28	109	7							
672	72682.857	32205.191	32177.238	2752232.675	7456510.202	45751.292	340	28	109	7							
676	86528.005	40438.874	40109.254	3343794.043	8485511.153	35959.338	340	28	109	7							
680	78997.585	34912.479	34919.473	3082247.322	7491595.536	26550.88	340	28	109	7							
684	87401.339	41156.417	36956.33	3328059.586	10234980.95	44506.666	340	28	109	7							
688	84802.94	39458.272	37195.766	3230966.341	8570558.305	41113.316	340	28	109	7							
692	85378.421	39725.685	36308.184	3261542.601	9569737.444	41805.217	340	28	109	7							
696	86388.205	40568.877	38244.902	3250019.913	8236917.504	31633.151	340	28	109	7							
700	85565.298	39454.434	36020.385	3254396.194	8991804.607	37825.07	340	28	109	7							
704	82873.871	36410.079	34681.554	3189530.714	7782976.274	30072.038	340	28	109	7							
708	83049.262	36967.56	35520.31	3203855.628	7567507.761	28103.317	340	28	109	7							
712	89331.891	43070.167	37874.386	3345721.693	9394011.186	38135.477	340	28	109	7							
716	83006.547	37345.534	35411.784	3155704.035	7854332.23	32157.966	340	28	109	7							
720	82643.458	38262.201	36722.754	3097890.176	7566788.706	29685.744	340	28	109	7							
724	87999.492	41352.976	36882.159	3238924.082	9208692.058	73546.444	340	28	109	7							
728	84385.108	38228.746	35178.224	3157650.574	8263986.322	33427.355	340	28	109	7							
732	86193.935	39500.371	35480.515	3206132.276	8363538.83	32965.431	340	28	109	7							
736	83264.841	37293.173	34716.615	3100671.237	7478437.996	28887.259	340	28	109	7							
740	86275.66	39469.773	35562.477	3175198.756	8262573.859	44050.021	340	28	109	7							
744	85603.027	39136.748	35091.003	3136290.516	8422266.73	35458.368	340	28	109	7							
748	88722.601	40976.387	35990.267	3216137.023	8769519.087	35932.139	340	28	109	7							
752	88909.974	41187.42	35910.85	3216538.245	8944805.16	41572.656	340	28	109	7							
756	86233.48	39105.944	36415.235	3120766.077	7461771.67	28615.867	340	28	109	7							
760	88322.186	40481.109	35668.108	3171428.65	8725508.218	50364.07	340	28	109	7							
764	100323.836	44479.274	38664.369	3232882.103	8835530.104	37678.129	340	28	109	7							
768	92688.9	43881.659	36381.355	3261542.244	9931888.321	80789.901	340	28	109	7							
772	90811.413	41349.382	35399.568	3187589.971	9024457.172	39703.087	340	28	109	7							
776	90290.817	42516.633	36150.183	3149399.268	8980187.499	37958.124	340	28	109	7							
780	97118.276	48835.948	41283.581	3251779.123	10292044.17	47517.74	340	28	109	7							
784	92512.918	42923.829	36275.521	3251819.03	8645499.826	41245.592	340	28	109	7							
788	93705.137	43957.804	36641.248	3243517.55	9924591.552	44350.511	340	28	109	7							
792	91585.346	42835.247	37159.152	3121401.261	8121755.836	42054.624	340	28	109	7							
796	93618.972	44004.118	36049.894	3212774.869	9799063.251	48859.541	340	28	109	7							
800	91265.785	41812.976	36672.07	3110617.512	8663279.416	44870.07	340	28	109	7							
804	94004.55	44039.832	35858.212	3200377.5	9765071.464	53383.888	340	28	109	7							
808	94402.922	43332.767	34782.81	3211588.212	9538431.561	44516.521	340	28	109	7							
812	94367.59	44221.05	35661.71	3182993.606	9815111.339	3377.23	340	28	109	7							
816	94549.16	45038.103	38444.026	3155863.935	8805074.986	39897.026	340	28	109	7							
820	99387.663	47700.248	36900.613	3296747.764	10845894.54	55065.628	340	28	109	7							
824	92508.985	42447.51	35156.972	3113898.523	8754534.059	43279.6	340	28	109	7							
828	98107.896	46918.253	37613.241	3194952.536	9748258.273	43041.76	340	28	109	7							
832	92283.302	41493.211	35227.614	3128941.581	8004394.8	35482.502	340	28	109	7							
836	115419.247	51466.212	47110.01	4419011.77	6933506.999	21865.687	350	28	109	7							
840	113287.313	51186.416	44690.255	4323848.544	7681005.317	27953.41	350	28	109	7							
844	109858.49	46944.877	42228.626	4198422.034	6935898.531	23484.435	350	28	109	7							
848	112106.977	48578.837	44392.236	4418499.757	6490149.676	20925.617	350	28	109	7							
852	114984.487	51721.393	43776.344	4458686.673	8082147.925	30415.854	350	28	109	7							
856	117294.212	54657.046	46043.243	4536592.892	9083111.423	37772.177	350	28	109	7							
860	122107.964	58522.875	48216.704	4733710.564	9380095.481	40677.706	350	28	109	7							
864	115799.083	53326.033	45319.77	4504949.77	8083791.505	33333.331	350	28	109	7							
868	123869.645	57541.647	48535.843	4573825.507	8540613.335	32024.071	350	28	109	7							
872	143821.586	53042.316	45758.927	4445376.745	7682384.623	66622.184	350	28	109	7							
876	116301.25	54116.743	45252.056	4497428.386	8719969.898	33667.497	350	28	109	7							
880	116557.862	54531.793	45615.239	4467614.768	8567825.55	38812.66	350	28	109	7							
884	109206.937	47698.689	42778.549	4246799.283	6682670.422	22149.819	350	28	109	7							
888	113155.494	51787.516	44247.616	4373684.694	7502382.182	27758.035	350	28	109	7							
892	115673.832	53594.604	44612.26	4449400.373	7904083.389	28759.18	350	28	109	7							
896	114146.06	52247.03	44236.359	4406321.671	7423302.947	26809.201	350	28	109	7							
900	109478.429	47766.475	42272.594	4214375.469	6612788.446	25372.067	350	28	109	7							
904	120960.333	53019.516	46161.961	4385633.428	7288599.612	33277.208	350	28	109	7							
908	110195.677	50019.077	42760.944	4237115.779	7408031.872	48435.223	350	28	109	7							
912	121196.752	56415.125	48151.36	4430737.921	8546197.802	34420.272	350	28	109	7							
916	106644.206	47444.495	41434.73	4090476.678	6576727.516	20785.034	350	28	109	7							
920	111086.282	52133.006	46284.391	4168117.09	6615989.361	22074.642	350	28	109	7							
924	109918.727	48523.937	42753.692	4121132.061	6746624.574	29594.227	350	28	109	7							
928	111502.975	50479.319	42851.337	4216329.7	7139091.333	25299.666	350	28	109	7							
932	112168.45	50850.55	43000	4238187.111	6987654.264	31800.75	350	28	109	7							
936	117868.341	55280.245	44381.994	4359435.913	8611083.279	35663.103	350	28	109	7							
940	114934.806	53501.655	45223.99	4232173.668	7190975.012	30325.512	350	28	109	7							
944	117613.438	54582.999	44583.662	4362490.366	7792989.109	29609.935	350	28	109	7							
948	121534.395	56420.53	44543.203	4487894.55	8108886.693	32638.754	350	28	109	7							
952	119791.087	56315.44	45201.295	4392944.015	8382544.274	41591.694	350	28	109	7							
956	114507.039	50367.737	42089.373	4214181.834	6807513.141	22327.102	350	28	109	7							
960	119852.494	56160.337	44952.369	4358996.124	8499212.516	54631.189	350	28	109	7							
964	113192.154	51406.115	44769.111	4128940.852	6495037.504	21689.498	350	28	109	7							
968	121312.709	57548.682	45231.291	4362533.873	8981006.513	36996.718	350	28	109	7							
972	115112.245	51189.49	43194.753	4158705.571	7263306.371	26566.657	350	28	109	7							
976	113513.394	51745.256	42603.168	4113328.582	7122434.516	36148.203	350	28	109	7							
980	117722.706	54290.814	43901.685	4254240.917	7660228.592	28940.775	350	28	109	7							
984	116676.785	54368.078	45007.632	4129247.416	6680111.933	23711.705	350	28	109	7							
