T							T	H2	N2	AA							
300	12476.985	9954.762	15310.89	1015155.945	11082553.33	50502.271	310	28	109	7							
304	12218.469	9754.445	13037.436	1010025.11	12076705.46	66457.533	310	28	109	7							
308	14325.412	12746.278	18777.007	1010630.399	11205111.99	51068.541	310	28	109	7							
312	32209.325	9551.236	13270.857	1023355.451	11854754.65	2674.465	310	28	109	7							
316	16377.975	11357.004	17441.105	1009117.218	11636836.77	55788.838	310	28	109	7							
320	13783.32	11084.087	15595.965	1020334.475	11115214.53	60422.23	310	28	109	7							
324	11948.347	8883.065	13103.733	984003.435	10704797.28	49613.134	310	28	109	7							
328	23710.169	11631.588	17219.36	988448.072	10549365.68	65328.334	310	28	109	7							
332	12713.728	9519.278	13225.758	1006872.858	11336025.91	54144.64	310	28	109	7							
336	17491.732	9122.36	18990.565	1609065.065	9328738.568	34870.14	320	28	109	7							
340	15496.384	9461.453	15313.384	1383994.897	11384862.72	48578.9	320	28	109	7							
344	16352.579	8418.857	16048.551	1511145.205	9289190.264	35316.251	320	28	109	7							
348	16571.182	9536.86	16114.468	1522053.647	10962231.54	59625.939	320	28	109	7							
352	18021.537	11579.612	21055.515	1535867.221	9937996.853	37825.058	320	28	109	7							
356	16860.73	9823.624	16726.89	1548985.889	10680548.34	72644.551	320	28	109	7							
360	17222.459	9849.464	17627.099	1524412.231	10165506.49	37931.364	320	28	109	7							
364	18085.257	11087.51	18171.698	1524441.495	10252613.29	39904.426	320	28	109	7							
368	18179.439	10765.174	22773.943	1514321.59	9327128.332	35004.124	320	28	109	7							
372	17155.622	9707.852	16757.239	1540648.381	10564361.13	54616.408	320	28	109	7							
376	17501.455	10296.428	18857.096	1518764.519	9809917.994	37048.906	320	28	109	7							
380	19782.591	10575.578	19069.922	1537908.82	10613717.54	40503.729	320	28	109	7							
384	16535.517	8850.61	15826.173	1502973.621	9668879.412	36231.622	320	28	109	7							
388	22151.216	11972.87	20122.745	1523787.477	10143886.48	41941.867	320	28	109	7							
392	16688.93	8958.07	15880.608	1495310.752	9830265.562	9238.299	320	28	109	7							
396	19555.374	11898.073	17465.005	1551302.526	10766273.84	43296.48	320	28	109	7							
400	17167.155	9460.338	15851.21	1531621.788	10619068.47	53379.773	320	28	109	7							
404	17966.811	10818.089	19173.065	1509274.602	9950684.759	38571.467	320	28	109	7							
408	16847.784	8971.699	15899.742	1508964.567	9649943.936	33192.873	320	28	109	7							
412	17467.768	9821.074	15839.341	1533716.096	10678105.32	43051.706	320	28	109	7							
416	16983.627	9436.927	15478.946	1503849.205	9884396.1	42491.387	320	28	109	7							
420	17592.011	10487.159	16049.831	1533033.307	10558342.05	42569.134	320	28	109	7							
424	17647.541	10562.045	16819.452	1493245.036	9871128.572	37467.495	320	28	109	7							
428	17399.523	10847.452	16046.525	1521131.246	10713383	42258.131	320	28	109	7							
432	36797.498	12935.838	22289.448	1493495.935	9687671.685	36925.261	320	28	109	7							
436	17635.801	10777.065	15969.455	1512159.4	10575589.03	56241.101	320	28	109	7							
440	18332.591	10998.961	18160.13	1497551.595	9805629.301	40030.156	320	28	109	7							
444	17491.596	10719.037	15897.743	1484282.488	10104077.74	45866.882	320	28	109	7							
448	34925.25	14624.504	22294.639	1527252.733	10912760.3	44223.014	320	28	109	7							
452	17847.186	10766.87	15771.316	1506237.778	10629393.28	54039.959	320	28	109	7							
456	17455.453	10096.118	16372.642	1465997.489	9746228.644	39257.651	320	28	109	7							
460	18639.521	10972.017	16176.086	1498459.675	10742942.38	79790.139	320	28	109	7							
464	17447.27	9618.875	15381.903	1471341.324	9374780.135	37726.824	320	28	109	7							
468	18810.117	11233.833	17000.05	1505266	10566839.97	65383.488	320	28	109	7							
472	17718.511	10173.18	15434.784	1484069.864	9837958.582	38825.27	320	28	109	7							
476	19944.97	12853.779	20108.857	1508152.774	10845533.25	65567.735	320	28	109	7							
480	18117.12	10928.225	15591.355	1491762.087	10445894.93	41858.469	320	28	109	7							
484	18551.362	10862.074	15228.941	1507814.897	10795262.12	45767.415	320	28	109	7							
488	17957.893	10742.59	15738.923	1482751.95	10013603.44	47526.461	320	28	109	7							
492	18654.18	11509.97	15267.436	1516467.787	11191613.84	51341.027	320	28	109	7							
496	18072.419	10714.306	15526.12	1467879.201	9954990.804	59432.571	320	28	109	7							
500	30151.292	13312.858	21338.377	1975968.867	10720500.33	42038.365	330	28	109	7							
504	23003.674	11546.29	19109.203	2073787.03	9855677.846	30984.885	330	28	109	7							
508	26379.871	13911.692	21776.13	2274455.324	10611885.84	37154.284	330	28	109	7							
512	24884.871	12433.789	22037.091	2119029.623	8906886.672	37147.534	330	28	109	7							
516	41861.973	16840.808	25558.817	2370553.436	12873887.83	48865.75	330	28	109	7							
520	24659.247	11928.463	21085.64	2223369.347	9508789.082	31148.799	330	28	109	7							
524	24226.16	11395.85	20169.415	2213347.047	9090383.031	27326	330	28	109	7							
528	23926.718	10651.514	19592.127	2193939.564	8211520.531	25655.583	330	28	109	7							
532	23924.579	11395.574	19776.797	2187690.345	8865521.523	4349.382	330	28	109	7							
536	24687.408	11873.542	19418.034	2242507.549	9816039.235	32191.632	330	28	109	7							
540	24225.428	11319.949	20174.723	2195561.972	8758101.169	47862.34	330	28	109	7							
544	26366.336	14633.658	24357.771	2241637.29	9888531.185	35633.059	330	28	109	7							
548	24006.625	11289.444	19752.406	2179321.495	8514010.659	66380.505	330	28	109	7							
552	25113.699	12525.108	19724.639	2226841.7	9985711.142	34551.707	330	28	109	7							
556	25416.455	12653.303	20578.74	2183948.499	8976807.906	28208.917	330	28	109	7							
560	27486.468	15478.339	25563.483	2218732.614	9864042.832	33959.166	330	28	109	7							
564	25000.6	12279.95	20513.45	2149590.514	8889671.109	28405.09	330	28	109	7							
568	25550.609	12616.814	19665.198	2223734.573	10189327.65	36128.412	330	28	109	7							
572	25551.578	12408.592	20618.814	2136672.882	8921513.58	29332.255	330	28	109	7							
576	24711.848	11753.547	18661.991	2168045.856	9307404.171	34090.55	330	28	109	7							
580	27019.862	13531.395	22587.705	2167603.515	8959875.313	30850.62	330	28	109	7							
584	25475.729	12056.903	18845.718	2193906.675	10020218.9	68597.522	330	28	109	7							
588	25559.35	11849.384	19646.762	2196728.25	9316072.178	37362.881	330	28	109	7							
592	25062.338	11538.75	18133.44	2168894.823	9529144.964	50632.116	330	28	109	7							
596	27439.089	14729.501	25232.756	2176433.205	9047714.879	30055.17	330	28	109	7							
600	54545.561	13725.572	20241.407	2213362.477	9904130.141	35150.673	330	28	109	7							
604	25038.764	11388.961	18343.047	2149729.594	9061326.311	31200.358	330	28	109	7							
608	25976.689	12247.259	18452.947	2185330.285	9941120.205	37929.288	330	28	109	7							
612	25107.3	11474.7	18642.25	2146634.126	9040074.661	32072.571	330	28	109	7							
616	32998.143	14785.436	20888.803	2228373.502	10435542.29	86092.776	330	28	109	7							
620	25165.101	11733.549	18003.915	2133896.633	9049850.242	31642.629	330	28	109	7							
624	25707.209	11760.446	17966.336	2176781.613	9412862.015	38200.848	330	28	109	7							
628	25692.791	12089.299	18179.729	2165801.65	9386436.256	49334.444	330	28	109	7							
632	26808.541	12779.398	17957.886	2221241.536	10636477.22	39451.704	330	28	109	7							
636	25584.159	11949.938	18390.298	2150321.199	9087774.396	47855.731	330	28	109	7							
640	29006.739	16032.958	23178.495	2201959.004	10654068.34	52478.157	330	28	109	7							
