1352.4	506.3	227.4	536.4	49.4	319.5	224.4	210.1
1363	20.8	231.1	485.3	52.6	360.5	412.2	166.1
1391.3	24.9	242.9	389.5	59	435	678.7	249.5
1436.9	18.2	249.4	351.6	62	512.5	816.1	331
1493.9	456.9	257.9	336.7	64.6	617.8	949.2	410.3
1389.5	23.8	245.8	304.3	62.7	688.8	964.4	465.4
1414.6	23.6	252.5	304.7	66.5	802.6	969.6	499.5
1617.5	451.7	290.7	352.1	77.6	878.3	944.2	542.2
1820.3	21.2	331.3	399.1	90.1	894.3	844.8	548.3
1846.2	477.8	352.2	403.9	99.4	916.3	829	571.3
1630.8	396.7	292.8	324.4	77.9	793.4	741.4	568.8
1293.6	293.9	234.7	251	63.1	636.7	607.6	533.3
991.2	12.2	186.7	187.3	50.2	526.6	481.6	460.7
1825.9	20.1	401.6	370.7	132.8	659.4	536.2	426.9
679.7	6.7	131.4	143.9	37.4	362.6	402	401.6
1296.8	332.8	260.9	293.8	77.3	551.9	463.8	389.4
846.1	10.1	194	179.9	62.4	480.5	479.1	397.4
947.2	8.6	228.3	208	75.9	515.3	522.5	431.4
